total_leaves,removed_leaves,sampled_leaves,time_of_simulation,nb_trials
1,1,0,0.26010422960930973,100
1,1,1,1.105154592055994,100
1,1,0,1.6417904617784076,100
1,1,0,0.028854921460900722,100
7,7,7,8.023947897853933,100
370,154,115,132.57447174212638,100
1,1,0,0.17242245419198063,100
1,1,0,1.4270445758774692,100
722,400,168,18.653419242240613,100
1,1,0,0.1084156905262567,100
1612,394,174,9.748920910598002,100
1,1,0,0.530295854782474,100
2,2,0,1.2732789983050363,100
14,14,4,5.557949265974339,100
1,1,0,0.7983282599724095,100
2,2,0,2.888431338163754,100
1,1,1,8.947594676682778,100
1,1,0,2.2355517992804357,100
1,1,1,2.2560134712072686,100
3,3,1,0.7717448109537859,100
1,1,0,0.23367240902079883,100
409,224,186,9.574702145743975,100
1,1,0,0.26120374389610557,100
1,1,1,0.1730614698440653,100
1,1,0,0.18364044807539187,100
6,6,6,5.576451428298839,100
1,1,1,2.9587740258464077,100
1,1,0,2.283600260029857,100
1,1,1,1.1358232996499769,100
909,99,71,11.703607816593763,100
4,4,0,6.3283854487149505,100
1,1,0,0.2357690820522302,100
2,2,2,1.6310730515171288,100
1,1,0,0.6691854605719366,100
1,1,1,0.2575498982334367,100
2841,457,94,20.734811896515932,100
1,1,1,0.4063871313292904,100
2,2,0,3.461031144282215,100
1,1,0,2.0008346736097966,100
1,1,1,1.341841656774331,100
1,1,0,0.7519391355206677,100
237,144,119,9.265350933077864,100
4,4,2,3.99928097222159,100
1,1,0,1.4756573398163184,100
5,5,1,6.31267680116812,100
711,222,173,14.509774646746102,100
691,203,181,7.901968289957656,100
7,7,3,6.330774125150187,100
2,2,2,2.9981858055230033,100
1,1,0,8.58394895582585,100
1065,171,70,23.844050924257544,100
5,5,0,4.308574811830145,100
1,1,1,2.2290973795259776,100
11,11,2,23.217944638945923,100
1,1,1,1.1105951190709318,100
1,1,0,0.27858567916568444,100
349,101,91,10.350216176210395,100
6,6,1,2.9774455969087166,100
3,3,2,3.824715747708444,100
1,1,0,1.0529000317533654,100
1,1,0,0.43135849151796596,100
1,1,0,1.1373831709110418,100
48,48,40,16.97098435217261,100
1,1,0,2.529094230648246,100
1,1,0,0.7143098224377398,100
2,2,0,0.7549481101139347,100
1,1,1,0.5766359498916057,100
17,17,3,6.46139410090003,100
7,7,0,4.357757796202033,100
1,1,0,0.21822836441770124,100
1,1,1,0.1673689416505427,100
313,165,113,8.684113799856593,100
1,1,1,1.0918016248664422,100
4,4,3,3.952954551747437,100
1,1,1,0.4931300252476982,100
5,5,0,25.031911198382065,100
4,4,1,3.697866251457734,100
2,2,2,7.277757458127159,100
3,3,0,8.697577266136774,100
344,168,87,10.587043788281823,100
685,424,199,23.324277762790086,100
1,1,1,3.6933936968550176,100
5,5,3,4.556303310316055,100
1,1,1,0.03478803349415482,100
1,1,1,0.2784297621511756,100
7,7,2,4.771812715883858,100
4,4,4,3.3866837188852563,100
33,33,9,12.767517345795909,100
244,219,157,93.43230358269832,100
1,1,1,1.1727008373974988,100
1,1,0,1.1273069250601282,100
2,2,0,3.3998634575162923,100
1,1,1,0.7274071461335834,100
1,1,0,4.449519541028981,100
1,1,1,0.5066771787563181,100
2,2,2,1.6449771584848825,100
10,10,8,6.337748295320351,100
2,2,1,4.4022198714701535,100
3,3,0,5.329636689761658,100
919,187,52,22.899327761978764,100
